S no,Temperature,Humidity,Wind Speed,general diffuse flows,diffuse flows,Air Quality Index (PM),Cloudiness, Power Consumption in A Zone
1,6.559,73.8,0.083,0.051,0.119,158,1,34055.6962
2,6.414,74.5,0.083,0.07,0.085,159,1,29814.68354
3,6.313,74.5,0.08,0.062,0.1,151,1,29128.10127
4,6.121,75,0.083,0.091,0.096,151,1,28228.86076
5,5.921,75.7,0.081,0.048,0.085,154,1,27335.6962
6,5.853,76.9,0.081,0.059,0.108,158,1,26624.81013
7,5.641,77.7,0.08,0.048,0.096,152,1,16993.31307
8,5.496,78.2,0.085,0.055,0.093,152,1,16661.39818
9,5.678,78.1,0.081,0.066,0.141,154,1,16227.35562
10,5.491,77.3,0.082,0.062,0.111,159,1,15939.20973
11,5.516,77.5,0.081,0.051,0.108,152,1,15435.86626
12,5.471,76.7,0.083,0.059,0.126,159,1,15213.37386
13,5.059,78.6,0.081,0.07,0.096,156,1,15169.60486
14,4.968,78.8,0.084,0.07,0.134,150,1,14710.0304
15,4.975,78.9,0.083,0.055,0.152,154,1,14421.8845
16,4.897,79.1,0.083,0.07,0.096,155,1,14104.55927
17,5.02,79.7,0.081,0.051,0.134,159,1,13965.95745
18,5.407,78.5,0.082,0.062,0.163,154,1,13612.15805
19,5.169,77.9,0.083,0.066,0.108,156,1,13535.56231
20,5.081,77.7,0.084,0.051,0.13,150,1,13371.42857
21,5.041,77.2,0.081,0.062,0.152,153,1,13196.35258
22,5.034,76.9,0.083,0.051,0.185,153,1,13167.17325
23,4.896,76.6,0.085,0.07,0.137,154,1,13137.99392
24,4.805,76.2,0.081,0.059,0.134,159,1,12908.20669
25,4.753,75.7,0.083,0.044,0.134,159,1,12820.66869
26,4.901,74.4,0.083,0.07,0.122,154,1,13032.21884
27,5.203,74.1,0.085,0.062,0.096,158,1,12926.44377
28,5.394,71.9,0.081,0.073,0.1,158,1,12948.32827
29,5.156,74,0.079,0.062,0.148,154,1,12922.79635
30,5.179,74.2,0.083,0.037,0.137,152,1,12879.02736
31,4.934,72.9,0.082,0.055,0.134,151,1,12806.07903
32,4.718,75.8,0.08,0.051,0.152,152,1,12853.49544
33,5.546,74,0.082,0.055,0.093,150,1,12842.55319
34,4.658,73.5,0.08,0.044,0.104,154,1,13137.99392
35,4.382,76.9,0.081,0.073,0.148,152,1,13203.64742
36,4.212,78.3,0.081,0.117,0.082,159,1,13575.68389
37,4.308,77.2,0.081,0.062,0.126,157,1,14068.08511
38,4.735,74.3,0.08,0.04,0.156,155,1,13852.88754
39,4.769,75.6,0.082,0.099,0.063,159,1,13626.74772
40,4.92,73.7,0.083,0.099,0.096,155,1,13582.97872
41,4.408,76.7,0.082,0.037,0.119,159,1,13539.20973
42,4.29,77,8.50%,0.033,0.193,158,1,12908.20669
43,4.304,76,0.082,0.048,0.152,154,1,12342.85714
44,4.513,74.6,0.084,0.055,0.134,156,1,11897.87234
45,4.489,74.3,0.082,0.081,0.119,155,1,11551.36778
46,4.356,72.3,0.082,0.07,0.119,155,1,11263.22188
47,4.478,72.2,0.083,0.073,0.089,156,1,10719.75684
48,4.583,71,0.083,0.066,0.104,159,1,10924.01216
49,4.794,72,0.084,0.187,0.145,153,1,10949.54407
50,4.807,73.1,0.082,0.955,0.949,153,1,11347.11246
51,4.757,73.5,0.083,3.188,3.134,155,1,11733.7386
52,4.509,74.5,0.084,6.643,6.494,150,1,11945.28875
53,4.346,74.8,0.082,12.64,10.13,156,1,12029.17933
54,4.718,73.7,0.081,58.97,17,158,1,12426.74772
55,4.704,71.8,0.083,82.5,20.15,155,1,12871.73252
56,4.624,74.1,0.082,106.9,22.55,159,1,13203.64742
57,4.629,74.8,0.083,132.1,24.3,158,1,13542.85714
58,4.599,74,0.082,156.1,26.9,159,1,14046.20061
59,4.524,74.7,0.081,182.4,28.19,156,1,14392.70517
60,4.575,74.5,0.082,208.8,29.2,153,1,14830.39514
61,5.124,73.7,0.076,234.8,29.23,150,1,15238.90578
62,5.836,71.3,2.66,257.9,31.01,150,1,15837.08207
63,5.996,69.85,4.93,282.7,31.96,150,1,16059.57447
64,6.22,68.81,4.924,307,32.42,154,1,16322.18845
65,6.703,68.01,4.923,327.6,33.22,151,1,16774.46809
66,6.993,66.14,4.918,349.6,33.41,150,1,17164.74164
67,7.54,64.21,4.916,371.1,33.43,152,1,17507.59878
68,8.22,61.9,4.916,388.2,33.89,159,1,17478.41945
69,9.49,59.3,2.451,401.3,34.4,153,1,17792.09726
70,10.65,56.03,0.084,419.5,35.29,152,1,17748.32827
71,11.06,53.52,0.082,430.9,37.58,150,1,17963.52584
72,12.4,53.26,0.08,437.5,43.46,158,1,18142.24924
73,13.08,54.36,0.077,450.4,43.2,153,1,18131.30699
74,14.38,54.42,0.076,470.5,37.92,154,1,18102.12766
75,15.02,56.46,0.074,480,38.81,159,1,18156.83891
76,15.55,58.7,0.075,486.1,39.46,159,1,18335.56231
77,15.56,59.23,0.076,490.2,40.92,157,1,18204.25532
78,15.49,59.3,0.076,495.9,40.9,155,1,18196.96049
79,15.57,58.06,0.077,498.1,40.94,153,1,18466.8693
80,15.65,58.7,0.077,498.1,42.75,153,1,18350.15198
81,15.73,59.33,0.076,498.8,44.65,158,1,18331.91489
82,15.68,58.6,0.079,497,44.26,152,1,18419.45289
83,15.7,55.29,0.074,489.2,39.32,154,1,18310.0304
84,15.75,52.45,0.077,482.4,38.65,156,1,18390.27356
85,15.83,54.99,0.079,476.1,39.49,157,1,18353.79939
86,15.79,56.66,0.076,467.7,39.94,151,1,18142.24924
87,15.72,55.86,0.077,456.1,39.95,159,1,18113.06991
88,,54.06,0.075,449.2,41.52,152,1,18036.47416
89,,55.56,0.075,437.4,44.13,151,1,17996.35258
90,,56.69,0.077,422,43.87,159,1,17952.58359
91,,57.26,0.077,409,44.9,157,1,17894.22492
92,,57.96,0.074,391.8,46.89,153,1,17846.80851
93,,58.93,0.075,369.4,51.51,151,1,17525.83587
94,,58.7,0.073,321,57.14,159,1,17547.72036
95,,57.6,0.075,180.3,60.31,157,1,17770.21277
96,,58.7,0.075,149.5,67.85,150,1,17751.97568
97,,59.23,0.077,209.1,128.9,152,1,17646.20061
98,,57.46,0.074,265.1,219.1,153,1,17514.89362
99,,58.3,0.076,241.3,246,150,1,17325.22796
100,15.53,58.8,0.077,219,248.1,154,1,17456.53495
101,15.48,57.73,0.075,195.7,231.6,158,1,17449.24012
102,15.47,58.23,0.077,174.9,211.9,154,1,17627.96353
103,15.44,59.07,0.076,165.8,201.7,159,1,17708.20669
104,15.35,59.3,0.077,132,163,153,1,18649.24012
105,15.34,59,0.079,117.4,144.3,153,1,20192.09726
106,15.11,59.53,0.076,97.6,120.6,155,1,22238.29787
107,14.93,60.83,0.077,76.5,94,157,1,23613.37386
108,14.71,61.87,0.086,26.51,28.08,157,1,24167.78116
109,14.48,63.27,0.08,18,18.29,152,1,24455.92705
110,14.29,63.94,0.078,6.994,7.02,151,1,24463.22188
111,14.09,64.87,0.078,2.818,2.763,159,1,24000
112,13.89,66.11,0.076,0.809,0.89,155,1,24251.67173
113,13.79,66.74,0.076,0.146,0.197,153,1,24401.21581
114,13.54,66.71,0.076,0.062,0.089,159,1,24598.17629
115,12.51,68.35,0.077,0.055,0.085,158,1,24477.81155
116,12.06,70.2,0.078,0.066,0.096,156,1,24729.48328
117,11.75,70.7,0.079,0.055,0.126,151,1,24671.12462
118,11.61,70.7,0.077,0.081,0.126,156,1,24678.41945
119,11.5,70.6,0.078,0.059,0.074,150,1,24842.55319
120,11.43,70.7,0.076,0.048,0.093,157,1,24755.0152
121,11.42,71.2,0.076,0.073,0.085,155,1,24919.14894
122,11.69,71.1,0.078,0.091,0.104,153,1,25137.99392
123,12.05,69.82,0.077,0.048,0.108,159,1,25437.08207
124,11.87,69.98,0.076,0.051,0.093,151,1,25597.56839
125,11.61,71.2,0.078,0.04,0.119,158,1,25706.99088
126,11.5,72,0.078,0.07,0.078,157,1,25637.68997
127,11.43,72,0.075,0.051,0.07,158,1,25396.96049
128,11.29,72.2,0.075,0.051,0.119,151,1,25309.42249
129,11.49,73.1,0.077,0.044,0.085,152,1,24900.91185
130,12.24,70.1,0.077,0.073,0.089,155,1,24827.96353
131,11.84,68.78,0.074,0.066,0.093,156,1,24455.92705
132,12.2,68.78,0.074,0.066,0.122,153,1,24127.65957
133,13.1,65.44,0.074,0.04,0.141,151,1,24000
134,13.2,63.84,0.074,0.081,0.093,152,1,23872.34043
135,13.18,63.97,0.075,0.081,0.093,153,1,23306.99088
136,12.64,66.77,0.072,0.044,0.141,154,1,22975.07599
137,12.39,68.04,0.074,0.084,0.115,152,1,22489.9696
138,12.24,69.18,0.077,0.059,0.119,155,1,21760.48632
139,12.11,69.94,0.074,0.088,0.082,151,1,21253.49544
140,12.07,70.7,8.50%,0.033,0.078,151,1,20768.38906
141,11.99,70.8,0.075,0.055,0.134,153,1,20337.99392
142,11.32,74.7,0.075,0.07,0.1,157,1,19823.70821
143,11.37,74.8,0.074,0.084,0.082,151,1,19488.1459
144,11.41,74.1,0.076,0.077,0.122,151,1,18962.91793
145,11.01,75.8,8.50%,0.033,0.163,156,1,18047.41641
146,10.74,77.3,0.078,0.084,0.108,159,1,17507.59878
147,10.47,78.2,0.078,0.088,0.13,158,1,17120.97264
148,10.31,79.2,0.076,0.091,0.134,153,1,16785.41033
149,10.63,79.3,0.079,0.037,0.152,150,1,16453.49544
150,10.84,78.4,0.073,0.062,0.156,150,1,16132.5228
151,10.94,78.1,0.074,0.084,0.108,153,1,15720.36474
152,11.12,77.9,0.073,0.055,0.145,150,1,15304.55927
153,11.02,77.5,0.081,0.062,0.178,154,1,15136.77812
154,10.5,78.9,0.076,0.066,0.145,155,1,14637.08207
155,10.22,79.8,0.078,0.088,0.126,158,1,14414.58967
156,10.42,81.3,0.075,0.073,0.13,159,1,14250.45593
157,10.86,80,0.076,0.066,0.159,158,1,14294.22492
158,11.17,77.3,0.077,0.066,0.13,157,1,14057.14286
159,11.1,75.6,0.077,0.077,0.156,157,1,13823.70821
160,11.14,75,0.081,0.07,0.156,156,1,13783.58663
161,11.21,75.2,0.077,0.062,0.137,156,1,13608.51064
162,10.71,77.4,0.079,0.07,0.148,151,1,13448.02432
163,10.7,77.7,0.079,0.062,0.159,151,1,13524.62006
164,10.58,78.6,0.075,0.055,0.137,155,1,13480.85106
165,10.59,79.5,0.078,0.084,0.145,158,1,13517.32523
166,10.68,79.4,0.079,0.059,0.156,150,1,13484.49848
167,10.52,79.8,0.076,0.066,0.145,154,1,13437.08207
168,10.34,80.6,0.078,0.088,0.119,151,1,13353.19149
169,10.18,81.7,0.079,0.059,0.159,156,1,13090.57751
170,10.41,82.3,0.074,0.077,0.126,150,1,13218.23708
171,10.41,81.4,0.078,0.095,0.134,152,1,13196.35258
172,10.39,81.5,0.074,0.088,0.119,157,1,13280.24316
173,10.16,81.9,0.075,0.073,0.122,153,1,13287.53799
174,9.97,82.8,0.077,0.066,0.178,151,1,13418.84498
175,10.03,83.8,8.50%,0.029,0.163,153,1,13517.32523
176,9.98,83,0.078,0.073,0.115,159,1,13612.15805
177,9.74,82.8,0.081,0.106,0.126,155,1,13736.17021
178,9.54,83.7,0.078,0.081,0.174,155,1,13834.65046
179,9.53,83.9,0.072,0.066,0.182,153,1,14057.14286
180,9.56,84.1,0.073,0.077,0.134,154,1,14706.38298
181,9.58,84.5,0.075,0.048,0.134,157,1,15089.3617
182,9.44,84.1,0.075,0.07,0.145,150,1,14961.70213
183,9.4,84.4,0.077,0.07,0.122,156,1,15176.8997
184,9.38,84.6,0.076,0.044,0.141,152,1,15545.28875
185,9.16,84.7,0.077,0.048,0.145,152,1,15749.54407
186,9.06,85.6,0.076,0.059,0.141,157,1,15567.17325
187,9.17,85.8,0.078,0.073,0.163,154,1,15607.29483
188,9.46,86.2,0.076,0.07,0.152,154,1,16001.21581
189,9.74,85.4,0.072,0.077,0.111,159,1,15964.74164
190,9.8,84.4,0.077,0.081,0.122,156,1,15698.48024
191,9.58,83.9,0.079,0.073,0.13,153,1,15483.28267
192,9.51,83.7,0.082,0.081,0.137,156,1,15501.51976
193,9.44,83.2,0.084,0.124,0.223,150,1,15537.99392
194,9.18,82.5,0.083,0.871,0.89,153,1,15906.38298
195,8.96,83.4,0.083,2.95,2.867,150,1,16289.3617
196,8.71,83.9,0.081,6.657,6.472,157,1,16737.99392
197,8.52,85.1,0.081,13.02,11.56,158,1,16891.18541
198,8.43,85.4,0.079,39.1,19.49,155,1,17135.56231
199,8.44,85.9,0.08,64.11,24.49,155,1,17248.63222
200,8.69,86.7,0.079,92.3,27.88,158,1,17668.08511
201,9.02,86.7,0.082,117.2,30.43,155,1,18102.12766
202,9.17,86.9,,134.7,33.24,152,1,18302.73556
203,10.48,87,,169.2,35.2,156,1,18587.23404
204,11.13,83.5,,194,36.92,151,1,19236.47416
205,11.68,81.7,,218.3,39.07,151,1,19393.31307
206,12.22,78,,246.6,40.01,150,1,19634.04255
207,12.61,74.8,,270.6,40.59,150,1,19998.78419
208,13.07,72.7,,288.3,42.31,156,1,20038.90578
209,13.61,70.2,,309.8,43.74,151,1,20119.14894
210,14,69.22,,337.2,43.39,158,1,20498.48024
211,14.55,64.11,,360.7,41.43,150,1,20618.84498
212,14.94,58.46,,,41.13,156,1,20655.31915
213,15.08,57.23,,396.6,40.66,152,1,20808.51064
214,15.18,55.83,,410.8,41.23,154,1,21009.11854
215,15.28,56.49,,425.6,41.84,152,1,21020.06079
